"items__id_pleito","items__tipo_interessado","items__interessado","items__cod_ibge","items__uf","items__num_pvl","items__status","items__num_processo","items__data_protocolo","items__tipo_operacao","items__finalidade","items__tipo_credor","items__credor","items__moeda","items__valor","items__pvl_assoc_divida","items__pvl_contradado_credor","items__data_status","hasMore","limit","offset","count","links__rel","links__href"
"23148","Município","Rio de Janeiro","3304557","RJ","PVL02.000145/2016-66","Deferido","17944.001004/2016-23","2016-08-25T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","800000000","1","0","14/09/2016","","","","","",""
"42271","Município","Barra do Piraí","3300308","RJ","PVL02.000610/2020-45","Encaminhado à PGFN com manifestação técnica favorável","17944.101579/2020-21","2020-07-21T14:33:51Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","29900000","1","1","29/07/2020","","","","","",""
"13004","Município","Quatis","3304128","RJ","null","Deferido","17944.001881/2011-90","2012-05-07T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","385305.5","1","0","29/06/2012","","","","","",""
"20535","Município","Rio de Janeiro","3304557","RJ","00000.000000/2017-88","Deferido","17944.001114/2015-12","2015-12-15T02:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","800000000","1","0","23/12/2015","","","","","",""
"34869","Município","Nova Iguaçu","3303500","RJ","PVL02.003184/2019-68","Deferido","17944.103149/2019-19","2019-09-03T21:24:51Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","140000000","1","0","11/09/2019","","","","","",""
"36529","Município","Resende","3304201","RJ","PVL02.005421/2019-25","Deferido (PVL-IF)","null","null","Operação contratual interna","Aquisição de máquinas, equipamentos e veículos","Instituição Financeira Nacional","Banco do Brasil S/A","Real","3082637.34","0","1","28/10/2019","","","","","",""
"42266","Município","Paty do Alferes","3303856","RJ","PVL02.009521/2019-21","Encaminhado à PGFN com manifestação técnica favorável","17944.101568/2020-41","2020-04-29T13:27:03Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","1500000","0","1","11/05/2020","","","","","",""
"47509","Município","Casimiro de Abreu","3301306","RJ","PVL02.002362/2021-58","Deferido","17944.103628/2021-41","2021-12-24T15:46:02Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","29000000","0","0","28/12/2021","","","","","",""
"7986","Município","Rio Claro","3304409","RJ","null","Deferido","17944.000690/2010-20","2011-06-01T03:00:00Z","Operação contratual interna","Provias","Instituição Financeira Nacional","Banco do Brasil S/A","Real","647400","0","0","22/07/2011","","","","","",""
"34098","Município","Resende","3304201","RJ","PVL02.003089/2019-64","Deferido (PVL-IF)","null","null","Operação contratual interna","Aporte de capital","Instituição Financeira Nacional","Caixa Econômica Federal","Real","4000000","0","1","27/09/2019","","","","","",""
"5475","Município","Nova Iguaçu","3303500","RJ","null","Arquivado","17944.000122/2010-29","2010-12-03T02:00:00Z","Operação contratual interna","PAC - Pró-Moradia - 2009","Instituição Financeira Nacional","Caixa Econômica Federal","Real","48440939.24","0","0","14/12/2010","","","","","",""
"11032","Município","Petrópolis","3303906","RJ","null","Arquivado a pedido","17944.001341/2013-78","2017-03-31T17:18:53Z","Operação contratual interna (com garantia da União)","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","37046866.67","0","0","19/12/2017","","","","","",""
"10923","Município","Niterói","3303302","RJ","null","Deferido","17944.001314/2014-86","2015-11-12T02:00:00Z","Operação contratual interna","PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias","Instituição Financeira Nacional","Caixa Econômica Federal","Real","10000000","0","0","18/11/2015","","","","","",""
"8590","Município","Belford Roxo","3300456","RJ","null","Arquivado por decurso de prazo","17944.000804/2011-12","2014-10-20T02:00:00Z","Operação contratual interna","RELUZ","Empresa Não Estatal","Light - Serviços de Eletricidade S/A","Real","10144171.83","0","0","13/02/2015","","","","","",""
"9161","Município","Volta Redonda","3306305","RJ","null","Arquivado a pedido","17944.000917/2010-37","2013-12-04T02:00:00Z","Operação contratual interna","Aquisição de títulos CVS","Instituição Financeira Nacional","Caixa Econômica Federal","Real","20000000","0","0","20/02/2014","","","","","",""
"10433","Município","Mesquita","3302858","RJ","null","Arquivado","17944.001199/2008-00","2008-09-30T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2008 B","Instituição Financeira Nacional","Caixa Econômica Federal","Real","10055000","0","0","10/12/2008","","","","","",""
"10441","Município","Niterói","3303302","RJ","null","Deferido","17944.001200/2014-36","2014-09-08T03:00:00Z","Operação contratual interna","PMAT","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","28088701","1","0","11/09/2014","","","","","",""
"60057","Município","Paraty","3303807","RJ","PVL02.004261/2021-11","Encaminhado à PGFN com manifestação técnica favorável","17944.102390/2022-18","2022-07-12T17:54:41Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","30000000","0","0","29/07/2022","","","","","",""
"60630","Município","Miguel Pereira","3302908","RJ","PVL02.005562/2022-43","Deferido","17944.102601/2022-12","2022-09-02T18:21:45Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","19560000","0","1","08/09/2022","","","","","",""
"52029","Município","Miguel Pereira","3302908","RJ","PVL02.001208/2021-69","Arquivado a pedido","17944.100017/2022-22","2021-12-30T18:16:05Z","Operação contratual interna (com garantia da União)","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","19560000","0","0","04/05/2022","","","","","",""
"9075","Município","Barra do Piraí","3300308","RJ","null","Arquivado","17944.000898/2008-24","2008-08-18T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","459400","0","0","30/10/2008","","","","","",""
"6676","Município","Volta Redonda","3306305","RJ","null","Arquivado","17944.000407/2008-45","2008-08-28T03:00:00Z","Operação contratual interna","PAC - Saneamento - 2008","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","55300000","0","0","07/11/2008","","","","","",""
"10108","Município","São Pedro da Aldeia","3305208","RJ","null","Arquivado","17944.001122/2008-21","2009-03-06T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","598900","0","0","13/03/2009","","","","","",""
"13780","Município","Nova Friburgo","3303401","RJ","null","Deferido","19405.000082/2002-38","2002-11-25T02:00:00Z","Operação contratual interna","PMAT","Instituição Financeira Nacional","Banco Nacional de Desenvolvimento Econômico e Social","Real","2286000","1","0","18/12/2002","","","","","",""
"9312","Município","Nova Iguaçu","3303500","RJ","null","Regularizado","17944.000952/2007-51","2007-06-18T03:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Light - Serviços de Eletricidade S/A","Real","1357388.66","1","0","02/08/2007","","","","","",""
"10144","Município","Paracambi","3303609","RJ","null","Arquivado","17944.001131/2008-12","2008-04-09T03:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","345400","0","0","26/08/2008","","","","","",""
"26368","Município","Rio de Janeiro","3304557","RJ","PVL02.002098/2017-76","Deferido","17944.102249/2017-58","2017-11-29T19:03:49Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Caixa Econômica Federal","Real","200000000","1","0","04/12/2017","","","","","",""
"7273","Município","Rio de Janeiro","3304557","RJ","null","Deferido","17944.000536/2007-52","2007-05-30T03:00:00Z","Operação contratual interna","Saneamento para Todos","Instituição Financeira Nacional","Caixa Econômica Federal","Real","11064800","1","0","04/06/2007","","","","","",""
"8942","Município","São José de Ubá","3305133","RJ","null","Arquivado","17944.000871/2008-31","2008-12-26T02:00:00Z","Operação contratual interna","Caminho da Escola 2","Instituição Financeira Nacional","Banco do Brasil S/A","Real","299450","0","0","13/03/2009","","","","","",""
"12505","Município","Volta Redonda","3306305","RJ","null","Regularizado","17944.001701/2011-70","2013-12-04T02:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Light - Serviços de Eletricidade S/A","Real","6533024.55","0","0","14/02/2014","","","","","",""
"11447","Município","Belford Roxo","3300456","RJ","null","Deferido","17944.001450/2008-28","2008-06-10T03:00:00Z","Operação contratual interna","PNAFM","Instituição Financeira Nacional","Caixa Econômica Federal","Real","9186666","0","0","10/06/2008","","","","","",""
"5685","Município","São José do Vale do Rio Preto","3305158","RJ","null","Arquivado","17944.000172/2008-91","2008-04-02T03:00:00Z","Operação contratual interna","Caminho da Escola","Instituição Financeira Nacional","Banco do Brasil S/A","Real","856700","0","0","08/05/2008","","","","","",""
"5732","Município","Volta Redonda","3306305","RJ","null","Deferido","17944.000184/2014-64","2014-03-14T03:00:00Z","Operação contratual interna","PAC 2 - Mobilidade Médias Cidades","Instituição Financeira Nacional","Caixa Econômica Federal","Real","58054500","0","0","24/03/2014","","","","","",""
"5625","Município","Rio de Janeiro","3304557","RJ","null","Deferido","17944.000157/2010-68","2010-10-27T02:00:00Z","Operação contratual interna","PAC - Saneamento - 2009 A","Instituição Financeira Nacional","Caixa Econômica Federal","Real","405738579.9","1","0","24/11/2010","","","","","",""
"12087","Município","Resende","3304201","RJ","null","Deferido","17944.001600/2013-61","2014-05-20T03:00:00Z","Operação contratual interna","Infraestrutura","Instituição Financeira Nacional","Agência de Fomento do Estado do Rio de Janeiro","Real","7975845","0","0","11/06/2014","","","","","",""
"11576","Município","Quatis","3304128","RJ","null","Regularizado","17944.001480/2009-15","2012-05-07T03:00:00Z","Operação contratual interna","Regularização de Dívida - Energia Elétrica","Empresa Não Estatal","Light - Serviços de Eletricidade S/A","Real","2167931.82","1","0","29/06/2012","","","","","",""
